"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet"
"1","16S rRNA modification",4,0,4,0,7914,817,1,Inf,0.929622844146819,0.105282573549838,"Temperate",4,"UHGV","J"
"2","23S rRNA modification",2,1,2,1,321,455,0.573064819788752,2.83489096573209,2.36132711249352,1.23959791064031,"Temperate",3,"INPHARED","J"
"3","23S rRNA modification",189,77,189,77,7729,740,1.7295090807422e-20,0.235006292711041,0.234250848759153,2.09387381968848,"Lytic",266,"UHGV","J"
"4","3D",193,44,193,44,7725,773,7.51070264200515e-06,0.438920270667844,0.435366170256243,1.19969878635003,"Lytic",237,"UHGV","S"
"5","3D",20,180,20,180,303,276,1.02853920397062e-28,0.101210121012101,0.103469677401689,3.27272005829006,"Lytic",200,"INPHARED","S"
"6","Amino acid (E)",136,13,136,13,7782,804,0.887709724606196,1.08083743550205,1.04521540493272,0.0638002931232882,"Temperate",149,"UHGV","E"
"7","Amino acid (E)",3,2,3,2,320,454,0.654069392945783,2.128125,1.98533541341654,0.989382764745608,"Temperate",5,"INPHARED","E"
"8","Aminoacyl-tRNA synthetases",17,1,17,1,7901,816,1,1.75572712314897,1.20557278153937,0.269718750398202,"Temperate",18,"UHGV","J"
"9","Archaeal ribosomal proteins",22,0,22,0,7896,817,0.259205933831224,Inf,4.65870955486608,2.21993038908213,"Temperate",22,"UHGV","J"
"10","Arginine biosynthesis",3,0,3,0,7915,817,1,Inf,0.722948645063483,0.468034926471224,"Temperate",3,"UHGV","E"
"11","Aromatic amino acid biosynthesis",1,3,1,3,7917,814,0.00303398046323544,0.0342722411687929,0.044088592178267,4.50345077972648,"Lytic",4,"UHGV","E"
"12","Asparagine biosynthesis",4,0,4,0,7914,817,1,Inf,0.929622844146819,0.105282573549838,"Temperate",4,"UHGV","E"
"13","Biotin biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H"
"14","Carbohydrate (G)",26,24,26,24,297,432,0.137887953501448,1.57575757575758,1.57245755445035,0.653021074776772,"Temperate",50,"INPHARED","G"
"15","Carbohydrate (G)",225,22,225,22,7693,795,0.911738239104699,1.0568935159472,1.0362874865507,0.0514242905582801,"Temperate",247,"UHGV","G"
"16","Cell cycle (D)",92,169,92,169,231,287,0.013679698975943,0.676349291733907,0.677733391948113,0.56121024004853,"Lytic",261,"INPHARED","D"
"17","Cell cycle (D)",643,26,643,26,7275,791,3.55573012391801e-08,2.68893999471319,2.6417441322194,1.40149074022054,"Temperate",669,"UHGV","D"
"18","Cell membrane (M)",708,180,708,180,7210,637,3.92758699372623e-26,0.347508090614887,0.34703833917181,1.52683304108198,"Lytic",888,"UHGV","M"
"19","Cell membrane (M)",41,76,41,76,282,380,0.153922636362325,0.726950354609929,0.730672682052172,0.452702825144732,"Lytic",117,"INPHARED","M"
"20","Cobalamine/B12 biosynthesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","R"
"21","Cobalamine/B12 biosynthesis",17,21,17,21,7901,796,1.18602819346401e-12,0.0815568855057527,0.0820494783887075,3.60736202761912,"Lytic",38,"UHGV","R"
"22","Coenzyme (H)",0,17,0,17,323,439,0.000177873064518835,0,0.0388165157871495,4.68718556379407,"Lytic",17,"INPHARED","H"
"23","Coenzyme (H)",32,27,32,27,7886,790,2.86924389199795e-13,0.118728924206987,0.118459046817634,3.0775397122608,"Lytic",59,"UHGV","H"
"24","CRISPR-Cas system",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","V"
"25","CRISPR-Cas system",187,0,187,0,7731,817,1.39729610957468e-08,Inf,39.6511026320895,5.30928908035581,"Temperate",187,"UHGV","V"
"26","Cysteine biosynthesis",10,10,10,10,313,446,0.493393091946422,1.42492012779553,1.42424242424242,0.510194732319184,"Temperate",20,"INPHARED","S"
"27","Cysteine biosynthesis",836,29,836,29,7082,788,1.24835761043464e-12,3.207587959762,3.15688705151753,1.65850264420156,"Temperate",865,"UHGV","S"
"28","Defense (V)",1552,89,1552,89,6366,728,1.70991603831243e-10,1.99418963807023,1.98489430753767,0.98906218819901,"Temperate",1641,"UHGV","V"
"29","Defense (V)",83,10,83,10,240,446,1.97018471683087e-24,15.4241666666667,14.7639837639838,3.88401015104647,"Temperate",93,"INPHARED","V"
"30","Energy (C)",27,2,27,2,7891,815,1,1.3943099733874,1.13672939238421,0.184888849893236,"Temperate",29,"UHGV","C"
"31","Energy (C)",4,1,4,1,319,455,0.166146515142336,5.70532915360502,4.27699530516432,2.09659762357621,"Temperate",5,"INPHARED","C"
"32","Fatty acid biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","I"
"33","Folate biosynthesis",0,1,0,1,323,455,1,0,0.469345698093766,1.09127715891161,"Lytic",1,"INPHARED","H"
"34","Folate biosynthesis",15,10,15,10,7903,807,4.29524215995425e-05,0.153169682399089,0.150822269820182,2.72907862790523,"Lytic",25,"UHGV","H"
"35","Gen. function (R)",73,149,73,149,250,307,0.0022043318359779,0.601637583892617,0.603508701660225,0.728553522330347,"Lytic",222,"INPHARED","R"
"36","Gen. function (R)",1398,69,1398,69,6520,748,6.90023739985059e-13,2.32440650840224,2.3098754950491,1.20781509081186,"Temperate",1467,"UHGV","R"
"37","General transport (U)",80,12,80,12,7838,805,0.208572206463953,0.684698477502764,0.661787331759903,0.595560419710303,"Lytic",92,"UHGV","U"
"38","General transport (U)",11,22,11,22,312,434,0.371163179939625,0.69551282051282,0.710648888888889,0.492791153007711,"Lytic",33,"INPHARED","U"
"39","Gluconeogenesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","G"
"40","Gluconeogenesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","G"
"41","Glutamine biosynthesis",4,0,4,0,7914,817,1,Inf,0.929622844146819,0.105282573549838,"Temperate",4,"UHGV","E"
"42","Glycine cleavagePyruvate oxidation",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","C"
"43","Glycolysis",5,0,5,0,7913,817,1,Inf,1.13634927655273,0.184406340213609,"Temperate",5,"UHGV","G"
"44","Heme biosynthesis",1,2,1,2,322,454,1,0.704968944099379,0.845581395348837,0.241984460282715,"Lytic",3,"INPHARED","J"
"45","Heme biosynthesis",5,0,5,0,7913,817,1,Inf,1.13634927655273,0.184406340213609,"Temperate",5,"UHGV","J"
"46","Histidine biosynthesis",6,0,6,0,7912,817,1,Inf,1.34312796208531,0.425596759323471,"Temperate",6,"UHGV","E"
"47","Histidine biosynthesis, Purine biosynthesis",7,14,7,14,7911,803,2.19746533567946e-10,0.0507521173050183,0.0525315614328335,4.25067172239753,"Lytic",21,"UHGV","F"
"48","Histidine biosynthesis, Purine biosynthesis",0,37,0,37,323,419,2.1940686223555e-09,0,0.0172900566718187,5.85391359204857,"Lytic",37,"INPHARED","F"
"49","Inorganic ion (P)",70,6,70,6,253,450,2.0958485491923e-22,20.7509881422925,19.2749203459263,4.2686529930679,"Temperate",76,"INPHARED","P"
"50","Inorganic ion (P)",1261,16,1261,16,6657,801,6.1505687719938e-38,9.48307232987832,9.20440378247363,3.20232427367442,"Temperate",1277,"UHGV","P"
"51","Isoleucine, leucine, valine biosynthesis",5,0,5,0,7913,817,1,Inf,1.13634927655273,0.184406340213609,"Temperate",5,"UHGV","S"
"52","Isoprenoid biosynthesis",6,0,6,0,7912,817,1,Inf,1.34312796208531,0.425596759323471,"Temperate",6,"UHGV","H"
"53","Lipid (I)",50,1,50,1,7868,816,0.0862810531223563,5.18556176919166,3.49352905043316,1.80468513704727,"Temperate",51,"UHGV","I"
"54","Lipid A biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","M"
"55","Lysine biosynthesis",7,2,7,2,7911,815,0.203011778690383,0.360573884464669,0.309233394425836,1.69323196912053,"Lytic",9,"UHGV","E"
"56","Menaquinone biosynthesis",2,1,2,1,7916,816,0.255195364684158,0.206164729661445,0.171898355754858,2.54037234969709,"Lytic",3,"UHGV","S"
"57","Methionine biosynthesis",2,0,2,0,321,456,0.171609505298138,Inf,7.099533437014,2.82772421754364,"Temperate",2,"INPHARED","E"
"58","Methionine biosynthesis",20,2,20,2,7898,815,1,1.0319068118511,0.846629106792429,0.240198006061827,"Temperate",22,"UHGV","E"
"59","Molybdopterin biosynthesis",40,18,40,18,7878,799,3.04937965555177e-06,0.225381512510225,0.222156090214731,2.17035440277575,"Lytic",58,"UHGV","H"
"60","Motility (N)",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","N"
"61","Mureine biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","M"
"62","NAD biosynthesis",17,14,17,14,7901,803,2.04791559179885e-07,0.123411141446833,0.122728770399335,3.02645460589481,"Lytic",31,"UHGV","H"
"63","NAD biosynthesis",1,38,1,38,322,418,1.49290705167571e-08,0.0341614906832298,0.0505587435819994,4.30589557773402,"Lytic",39,"INPHARED","H"
"64","NO_HIT",7917,817,7917,817,1,0,1,0,3.22833843017329,1.69079182580895,"Lytic",8734,"UHGV","0"
"65","NO_HIT",322,455,322,455,1,1,1,0.707692307692308,0.70801317233809,0.498151893491434,"Lytic",777,"INPHARED","0"
"66","Non-phosphorylated Entner-Doudoroff pathway",1,1,1,1,7917,816,0.178325053030161,0.103069344448655,0.103125986738238,3.27752017135386,"Lytic",2,"UHGV","G"
"67","Nucleotide (F)",32,63,32,63,291,393,0.11951526587133,0.685976108656521,0.690900987290825,0.533449121436721,"Lytic",95,"INPHARED","F"
"68","Nucleotide (F)",71,38,71,38,7847,779,1.75054360377114e-13,0.185484898687396,0.18447185181814,2.4385273996882,"Lytic",109,"UHGV","F"
"69","Pantothenate/CoA biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H"
"70","Phage-associated",7916,801,7916,801,2,16,3.83064384352889e-15,79.0611735330836,65.1888958203369,6.02655433374153,"Temperate",8717,"UHGV","Ph"
"71","Phage-associated",321,456,321,456,2,0,0.171609505298138,0,0.140854326396495,2.82772421754364,"Lytic",777,"INPHARED","Ph"
"72","Phospholipid biosynthesis",0,1,0,1,7918,816,0.0935317687464225,0,0.034370987771253,4.86266487655125,"Lytic",1,"UHGV","I"
"73","Phospholipid biosynthesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","I"
"74","Posttranslational (O)",1337,109,1337,109,6581,708,0.00876527066188348,1.31961206085353,1.31490579828543,0.394959446502723,"Temperate",1446,"UHGV","O"
"75","Posttranslational (O)",38,36,38,36,285,420,0.0822129862592714,1.55555555555556,1.55355900487009,0.635577036707186,"Temperate",74,"INPHARED","O"
"76","Proline biosynthesis",3,0,3,0,7915,817,1,Inf,0.722948645063483,0.468034926471224,"Temperate",3,"UHGV","E"
"77","Purine biosynthesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","F"
"78","Purine biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","F"
