"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"1","abrB",4,0,4,0,505,43,1,Inf,0.774480712166172,0.368698784611974,"Temperate",4,"UHGV","S","NonSporBacil_Lifestyle"
"2","acuC",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","Q","NonSporBacil_Lifestyle"
"3","ald",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","E","NonSporBacil_Lifestyle"
"4","ald",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","E","NonSporBacil_Lifestyle"
"5","appB",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","S","NonSporBacil_Lifestyle"
"6","appC",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","S","NonSporBacil_Lifestyle"
"7","azoR2",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","C","NonSporBacil_Lifestyle"
"8","cdaS",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","T","NonSporBacil_Lifestyle"
"9","clpC",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","O","NonSporBacil_Lifestyle"
"10","clpC",4,0,4,0,505,43,1,Inf,0.774480712166172,0.368698784611974,"Temperate",4,"UHGV","O","NonSporBacil_Lifestyle"
"11","comER",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","E","NonSporBacil_Lifestyle"
"12","comP",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","T","NonSporBacil_Lifestyle"
"13","cotJC",16,0,16,0,493,43,0.626590123264251,Inf,2.90881458966565,1.54043134075078,"Temperate",16,"UHGV","P","NonSporBacil_Lifestyle"
"14","ctaA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","H","NonSporBacil_Lifestyle"
"15","cwlJ",0,1,0,1,42,237,1,0,1.86274509803922,0.897430266359452,"Lytic",1,"INPHARED","S","NonSporBacil_Lifestyle"
"16","cwlJ",95,7,95,7,414,36,0.838964945053506,1.18012422360248,1.12127060715722,0.165134499811497,"Temperate",102,"UHGV","S","NonSporBacil_Lifestyle"
"17","dacA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","M","NonSporBacil_Lifestyle"
"18","dgkA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","I","NonSporBacil_Lifestyle"
"19","dppA",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","E","NonSporBacil_Lifestyle"
"20","ecsA",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","V","NonSporBacil_Lifestyle"
"21","eno",2,0,2,0,507,43,1,Inf,0.428571428571429,1.22239242133645,"Temperate",2,"UHGV","G","NonSporBacil_Lifestyle"
"22","eno",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","G","NonSporBacil_Lifestyle"
"23","exoA",2,0,2,0,507,43,1,Inf,0.428571428571429,1.22239242133645,"Temperate",2,"UHGV","Ph","NonSporBacil_Lifestyle"
"24","fadM",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","E","NonSporBacil_Lifestyle"
"25","ftsK",6,1,6,1,503,42,0.435006264680263,0.500994035785288,0.365772922873221,1.45097981444915,"Lytic",7,"UHGV","D","NonSporBacil_Lifestyle"
"26","ftsK",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","D","NonSporBacil_Lifestyle"
"27","glcU",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","G","NonSporBacil_Lifestyle"
"28","glgP",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","G","NonSporBacil_Lifestyle"
