"","gene_name","Class","Stage","description","function.","product","essential"
"1","abrB","Sporulation Initiation","Starvation","transcriptional regulator of transition state genes","regulation of gene expression during the transition from growth to stationary phase","transcriptional regulator","no"
"2","aprE",NA,NA,"major extracellular alkaline protease","protein degradation","extracellular alkaline serine protease (subtilisin E)","no"
"3","blyA",NA,NA,"N-acetylmuramoyl-L-alanine amidase","SPß-mediated lysis","N-acetylmuramoyl-L-alanine amidase","no"
"4","cwlA",NA,NA,"N-acetylmuramoyl-L-alanine amidase","minor autolysin","N-acetylmuramoyl-L-alanine amidase","no"
"5","cwlC","Mother Cell Lysis","Mother Cell Lysis","N-acetylmuramoyl-L-alanine amidase","mother cell lysis","N-acetylmuramoyl-L-alanine amidase","no"
"6","cwlH","Mother Cell Lysis","Mother Cell Lysis","N-acetylmuramoyl-L-alanine amidase","cell wall metabolism","N-acetylmuramoyl-L-alanine amidase","no"
"7","endolysin","Unknown Lysis","Lysis",NA,NA,NA,NA
"8","fenA","DNA Protection","Engulfment","magnesium-dependent 5'->3' flap endonuclease, major contributor to the removal of RNA from an Okazaki fragment, protection of developing and dormant spores against UV DNA damage","removal of RNA from Okazaki fragments","5′-3′ flap endonuclease","no"
"9","lexA","DNA Repair","Unknown","transcriptional repressor of the SOS regulon","regulation of DNA damage repair","transcriptional repressor of the SOS regulon","no"
"10","ligD","DNA Repair","Unknown","DNA repair polymerase/ ligase in non-homologous end joining DNA repair","non-homologous end joining DNA repair, repair of gapped DNA substrates","DNA repair polymerase/ ligase","no"
"11","lytD","Unknown Lysis","Lysis","minor autolysin, peptidoglycan N-acetylglucosaminidase","minor autolysin, cell separation","peptidoglycan N-acetylglucosaminidase","no"
"12","mdfA",NA,NA,"metabolic differentiation factor A, sporulation-specific adaptor protein, targets proteins to degradation by [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] during sporulation","control of [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-mediated degradation of metabolic enzymes in the forespore","metabolic differentiation factor A, adaptor protein","no"
"13","nlpD",NA,NA,NA,NA,NA,NA
"14","nucB",NA,NA,"[wiki|sporulation]-specific extracellular nuclease","DNA degradation after mother cell lysis","[wiki|sporulation]-specific extracellular nuclease","no"
"15","parA","Partitioning","Commitment","ATPase, centromere-like function involved in forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation, regulator of SMC complex dynamics","forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation","negative regulator of [[category|SW.4.2]] initiation","no"
"16","pghL",NA,NA,"phage-derived gamma polyglutamic acid hydrolase, sporulation protein","polyglutamic acid degradation","phage-derived gamma polyglutamic acid hydrolase","no"
"17","phoH","Unknown","Unknown","phosphate starvation-induced protein","unkown","unknown","no"
"18","polA","DNA Repair","Unknown","DNA polymerase I, required for repair of UV- or MMS-induced DNA damage, processing of Okazaki fragments","DNA replication","DNA polymerase I","no"
"19","rapA","Sporulation Initiation","Initiation","response regulator aspartate phosphatase, dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P, control of the [wiki|phosphorelay]","control of [wiki|sporulation] initiation","response regulator aspartate phosphatase","no"
"20","rapJ",NA,NA,"response regulator aspartate phosphatase, dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P","control of the [wiki|phosphorelay]","response regulator aspartate phosphatase","no"
"21","rapK","Sporulation Initiation","Initiation","response regulator aspartate phosphatase, controls [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity","control of [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity","response regulator aspartate phosphatase","no"
"22","rsfA","Sigma Regulator","Commitment/Engulfment","probable regulator of transcription of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes","control of expression of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes","regulator of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity","no"
"23","sigA",NA,NA,"[wiki|RNA polymerase] major [wiki|sigma factor] SigA","transcription","[wiki|RNA polymerase] major [wiki|sigma factor] SigA","yes"
"24","sigF",NA,NA,"[wiki|RNA polymerase] forespore-specific (early) [wiki|sigma factor] SigF","transcription of [wiki|sporulation] genes (early forespore)","[wiki|RNA polymerase] forespore-specific (early) [wiki|sigma factor] SigF","no"
