"#phrog","Domain","#MS","#colMSA","#prot","#annot","Phrog_annot","Phrog_cat","RefSeq","pfam","KEGG","GO"
"phrog_8268","Bacteria:14","190","194","14","2","spore protease","other","hypothetical protein [n=2]; Spore …","PF06866.10&DUF1256 ; Protein o…","NA","GO:0009847 spore germination !!!GO…"
"phrog_8289","Archaea:14","406","445","14","1","aminoacid permease","other","protein of an unannotated phage [n…","PF00324.20&AA_permease ; Amino…","NA","GO:0003333 amino acid transmembran…"
"phrog_11055","Bacteria:9","212","227","9","0","NA","unknown function","hypothetical protein [n=9];","PF08141.11&SspH ; Small acid-s…","NA","GO:0042601 endospore-forming fores…"
"phrog_15045","Bacteria:6","555","599","6","3","NA","unknown function","sodium-dependent galactose transpo…","PF00474.16&SSF ; Sodium:solute…","K03307&TC.SSS&solute:Na+ s…","GO:0016021 integral component of m…"
"phrog_20406","Bacteria:4","56","56","4","0","NA","unknown function","NA","PF05331.10&DUF742 ; Protein of…","NA","GO:0005634 nucleus !!!GO:0006270 D…"
"phrog_20720","Bacteria:4","470","517","4","0","NA","unknown function","NA","PF01235.16&Na_Ala_symp ; Sodiu…","K11928&putP&sodium/proline…","GO:0055085 transmembrane transport…"
"phrog_23393","Bacteria:3","403","403","3","0","NA","unknown function","NA","PF03222.12&Trp_Tyr_perm ; Tryp…","K03834&tyrP&tyrosine-speci…","GO:0015655 alanine:sodium symporte…"
"phrog_24603","Bacteria:3","116","116","3","0","NA","unknown function","NA","PF08769.10&Spo0A_C ; Sporulati…","K07699&spo0A&two-component…","GO:0005737 cytoplasm !!!GO:0006355…"
"phrog_25813","Bacteria:3","195","195","3","0","NA","unknown function","NA","PF01750.17&HycI ; Hydrogenase …","K03605&hyaD, hybD&hydrogen…","GO:0008047 enzyme activator activi…"
"phrog_27338","Bacteria:3","103","103","3","3","NA","unknown function","SpoVG protein [n=3];","PF04026.11&SpoVG ; SpoVG&9…","K06412&spoVG&stage V sporu…","GO:0030435 sporulation resulting i…"
"phrog_35041","Bacteria:2","61","61","2","0","NA","unknown function","NA","PF07638.10&Sigma70_ECF ; ECF s…","NA","GO:0016987 sigma factor activity !…"
"phrog_37310","Bacteria:2","432","432","2","0","NA","unknown function","NA","PF13520.5&AA_permease_2 ; Amin…","NA","GO:0015803 branched-chain amino ac…"
"phrog_37855","Bacteria:2","275","278","2","0","NA","unknown function","NA","PF04397.14&LytTR ; LytTr DNA-b…","K07699&spo0A&two-component…","GO:0003677 DNA binding !!!GO:00421…"
